exercise,category,equipment,default_sets,default_reps,progression_rule,notes,source
Chin-ups,Pull,Pull-up Bar; Assisted Band,5,AMRAP,Add reps until 10+ per set then add weight,Full hang; controlled hollow,Reference
Dips,Push,Parallel Bars; Dip Belt,5,8-12,Add weight once 12 solid,Shoulders warm; no bounce,Reference
Ab Wheel,Core,Ab Wheel,3,8-12,Add reps toward 15 then harder variation,Avoid lumbar extension,Reference
Back Extension,Posterior,Hyperextension Bench,3,10-15,Add load when 15 crisp,Neutral spine throughout,Reference
DB Split Squat,Single-Leg,Dumbbells,3,8-12,Progress load after 12 smooth,Stay tall balanced,Reference
Hammer Curl,Arms,Dumbbells,3,10-12,Add reps then weight,No swing strict,Reference
Sled Push,Conditioning,Sled,6,20-40m,Add load or distance,Explosive drives,Reference
Farmer Carry,Carry,Trap Bar; Dumbbells,6,20-30m,Add load then distance,Posture tall brace,Reference
DB Bench Press,Push,Dumbbells,5,8-12,Add reps then weight,Control tempo,Reference
Close-Grip Bench,Push,Barbell; Bench,5,6-10,Add weight once 10 solid,Elbows tucked,Reference
Push-Ups,Push,Floor,5,AMRAP,Add reps; elevate feet when 30+,Rigid plank,Reference
DB Rows,Pull,Dumbbell; Bench,5,8-12,Add reps then weight,Full stretch,Reference
Face Pulls,Pull,Cable; Rope,4,12-15,Add reps then slight load,Scap retraction,Reference
Glute-Ham Raise,Posterior,GHR Machine,4,6-10,Add reps then hold weight,Flat back,Reference
Romanian Deadlift,Posterior,Barbell,4,8-10,Add weight small increments,Hips back,Reference
Good Mornings,Posterior,Barbell,4,8-10,Add weight slowly,Soft knees,Reference
Rack Pulls,Posterior,Rack; Barbell,4,5-8,Add weight,Above knee,Reference
Leg Press,Single-Leg,Leg Press Sled,5,12-15,Add reps then small load,Full but safe depth,Reference
Lunges,Single-Leg,Dumbbells,4,10-12,Add distance/reps then load,Stay tall,Reference
Step-Ups,Single-Leg,Box; Dumbbells,4,8-10,Add height then load,Drive through heel,Reference
Leg Curls,Posterior,Leg Curl Machine,4,10-15,Add reps then weight,No hip lift,Reference
Hanging Leg Raises,Core,Bar,4,10-15,Add reps strict; then weight,Control swing,Reference
Sit-Ups,Core,Mat,4,15-20,Add reps; progress to decline,Neutral neck,Reference
DB Press,Push,Dumbbells,5,8-12,Add reps then weight,Neutral wrist,Reference
DB Incline Press,Push,Dumbbells; Incline Bench,5,8-12,Add reps then weight,Controlled lower,Reference
Rows,Pull,Machine; Cable; Barbell,5,8-12,Add reps then load,No torso jerk,Reference
RDL,Posterior,Barbell,5,8-10,Add load small increments,Hamstring stretch,Reference
Abs,Core,Mat; Cable,5,15-20,Add reps then resistance,No hip flexor dominance,Reference
